Title	Author	Description	Content	Published At	URL
Trump and Biden both call for smooth transition in historic Oval Office meeting	Alexandra Hutzler, Molly Nagle	President-elect Donald Trump was welcomed at the White House on Wednesday after declining to do the same for President Joe Biden after the 2020 election.	"President Joe Biden and President-elect Donald Trump are meeting in the Oval Office, resuming a tradition that Trump himself flouted in 2020.
The two men, seated by a roaring fire, shook hands. Bide… [+4424 chars]"	2024-11-13T16:59:07Z	https://abcnews.go.com/Politics/biden-trump-meet-oval-office-post-election-tradition/story?id=115785681
Trump's DOD pick, Fox's Pete Hegseth, once mocked him for getting advice from TV news	Lucien Bruggeman, Olivia Rubin	Donald Trump this week tapped Pete Hegseth to be his secretary of defense -- despite the Fox News host having previously criticized him before he was elected in 2016.	President-elect Donald Trump this week tapped Pete Hegseth to be his secretary of defense -- despite the Fox News host having previously criticized Trump on his foreign policy and military stances be… [+3335 chars]	2024-11-13T20:28:51Z	https://abcnews.go.com/US/trumps-pick-defense-secretary-fox-news-pete-hegseth/story?id=115825324
Walz says Harris' message 'absolutely clear' after Biden's 'garbage' remarks	David Brennan	"Minnesota Gov. Tim Walz told ""Good Morning America"" Wednesday that Vice President Kamala Harris will deliver what ""Americans are hungry for -- a unifying president."""	"Democratic vice presidential nominee and Minnesota Gov. Tim Walz told ""Good Morning America"" Wednesday that presidential nominee and Vice President Kamala Harris will deliver what ""Americans are hung… [+3502 chars]"	2024-10-30T13:29:34Z	https://abcnews.go.com/US/walz-harris-message-absolutely-clear-after-bidens-garbage/story?id=115299825
Harris expected to take advantage of Kelly's critical comments of Trump at town hall	Will McDuffie, Gabriella Abdul-Hakim, Fritz Farrow	Vice President Kamala Harris will answer questions from voters Wednesday night at a CNN town hall.	Vice President Kamala Harris will answer questions from voters Wednesday night at a CNN town hall as she makes a final pitch to Americans in what is expected to be a razor-thin election -- and is exp… [+2727 chars]	2024-10-23T18:03:45Z	https://abcnews.go.com/Politics/harris-expected-advantage-kellys-critical-comments-trump-cnn/story?id=115069432
Courts restrained Trump in first term. Will they 'check' his power again?	Devin Dwyer	"Donald Trump's critics warn that he will have ""no guardrails"" in a second term, but his agenda and his personal impulses won’t proceed entirely unchecked."	"When Donald Trump assumes the presidency for a second time, top Democrats say he will have no guardrails and Supreme Court Justice Sonia Sotomayor has warned he will be a king above the law.
Ironic … [+5205 chars]"	2024-11-11T10:36:26Z	https://abcnews.go.com/Politics/courts-restrained-trump-term-check-power/story?id=115657129
Officials wary of retribution if they speak out against Trump: Former Pence adviser	Selina Wang	Olivia Troye told ABC News said she's been speaking to other military leaders and cabinet officials who served under Trump who are debating speaking out against Trump.	A national security official during the Trump administration and adviser to Mike Pence said some military officials are wary of speaking out against former President Donald Trump because they are wor… [+3460 chars]	2024-10-23T21:17:49Z	https://abcnews.go.com/Politics/military-officials-debating-speaking-trump-wary-retribution-former/story?id=115075214
DOD ordered to turn over records from Trump's Arlington National Cemetery incident	Luke Barr	The Trump campaign denies any altercation with a cemetery employee.	A federal judge has ordered the Department of Defense to turn over records related to former President Donald Trump's controversial visit to Arlington National Cemetery meaning the public could soon … [+2413 chars]	2024-10-23T13:39:40Z	https://abcnews.go.com/Politics/judge-orders-dod-turn-records-trumps-arlington-national/story?id=115060948
Georgia 2024 live election results: Raffensperger says Trump's lead 'insurmountable'	ABC NEWS	Georgia is considered one battleground this year in the presidential election.	"Georgia is considered a key battleground this year in the presidential election, after it went blue for the first time in decades in 2020.
The winner in the state will net its 16 electoral votes.Pol… [+1465 chars]"	2024-11-06T04:55:06Z	https://abcnews.go.com/Politics/georgia-2024-live-election-results/story?id=112282293
Trump taps Fox News host Pete Hegseth to serve as Secretary of Defense	Kelsey Walsh, Lalee Ibssa, Soo Rin Kim, Ivan Pereira	Fox News host Pete Hegseth is Donald Trump's pick to be defense secretary, the president-elect announced.	"President-elect Donald Trump has selected Fox News host Pete Hegseth to lead the Department of Defense.
Trump made the announcement Tuesday on his Truth Social platform on Tuesday night.
Trump list… [+1123 chars]"	2024-11-13T01:46:37Z	https://abcnews.go.com/Politics/trump-taps-fox-news-host-pete-hegseth-serve/story?id=115795789
Redacted Trump-Arlington cemetery incident report suggests investigation ongoing	Lucien Bruggeman, Anne Flaherty	ABC News was first to obtain a copy of the report secured by American Oversight.	Heavily redacted records obtained by the non-partisan watchdog organization American Oversight suggest that the altercation between an Arlington National Cemetery employee and members of Donald Trump… [+3163 chars]	2024-10-25T20:30:54Z	https://abcnews.go.com/Politics/redacted-trump-arlington-cemetery-incident-report-suggests-investigation/story?id=115118239
Her billionaire marriage broke up. Her VP campaign fizzled. Now she’s a Trump-world star.	Elizabeth Dwoskin,Ashley Parker,Meryl Kornfield and Aaron Schaffer, (c) 2024 , The Washington Post	During his recent live tour, Tucker Carlson welcomed a stable of MAGA warhorses to the stage: activist Charlie Kirk in Wichita, conspiracy theorist Alex...	During his recent live tour, Tucker Carlson welcomed a stable of MAGA warhorses to the stage: activist Charlie Kirk in Wichita, conspiracy theorist Alex Jones in Reading, Pennsylvania, Donald Trump J… [+17462 chars]	2024-10-24T00:04:41Z	https://washingtonpost.com/technology/2024/10/23/nicole-shanahan-maga-make-america-healthy-trump-rfk-jr/
Trump takes a scattershot approach to income-tax reform	Julie Zauzmer Weil, (c) 2024 , The Washington Post	During his campaign for a second term, former president Donald Trump has proposed a string of tax giveaways: He has suggested “no tax on tips,” an idea he...	During his campaign for a second term, former president Donald Trump has proposed a string of tax giveaways: He has suggested no tax on tips, an idea he said he heard from a waitress in Nevada. He ha… [+6254 chars]	2024-10-19T00:36:07Z	https://washingtonpost.com/business/2024/10/18/trump-income-tax-exemptions/
Inside the 'Make America Healthy Again' push that's perplexing health leaders...	washington post		Experts are happy that chronic disease has become a campaign priority — but not sure how to feel about the message coming from Donald Trump and Robert F. Kennedy Jr.	2024-10-18T12:00:03Z	https://www.washingtonpost.com/politics/2024/10/18/inside-make-america-healthy-again-push-thats-perplexing-health-leaders/
Rapper Young Thug pleads guilty in YSL Records case in Atlanta	Holly Bailey	The case was seen as a template for a potential Donald Trump trial.	But Fulton County Superior Court Judge Paige Reese Whitaker rejected that suggestion. She sentenced the rapper to 40 years, with five years in prison. Whitaker also commuted the sentence to time serv… [+10572 chars]	2024-11-02T22:24:18Z	https://www.washingtonpost.com/nation/2024/10/31/young-thug-plea-guilty-ysl-trial-georgia/
Dems rage against Biden’s ‘arrogance’ after Harris loss	Adam Cancryn	Democratic leaders had hoped Harris could separate herself from Biden’s deficiencies.	"Democrats are directing their rage over losing the presidential race at Joe Biden, who they blame for setting up Kamala Harris for failure by not dropping out sooner.
They say his advancing age, que… [+8290 chars]"	2024-11-07T00:37:45Z	https://www.politico.com/news/2024/11/06/democrats-blame-biden-trump-win-00188092
Bill Clinton Has a Solution For Harris to Take Down Trump	Jonathan Martin	In eastern North Carolina, the former president tells voters why the pandemic caused inflation, not Democrats, and prescription-drug prices are on the ballot...	ROCKY MOUNT, North Carolina Last Sunday, the morning after Donald Trump recalled Arnold Palmers endowment, Bill Clinton was in a Black megachurch warning parishioners that the price of insulin, cost … [+17247 chars]	2024-10-26T11:00:00Z	https://www.politico.com/news/magazine/2024/10/26/bill-clinton-north-carolina-harris-00185596
Who could be in Trump’s next Cabinet? Here are leading contenders.	POLITICO	Former President Donald Trump, who is in the throes of a tight campaign, has not engaged in formal conversations about a potential Cabinet. But that hasn’t stopped him from spitballing potential contenders during his frequent plane rides to campaign events, o…	Former President Donald Trump, who is in the throes of a tight campaign, has not engaged in formal conversations about a potential Cabinet. But that hasnt stopped him from spitballing potential conte… [+1345 chars]	2024-10-21T07:55:34Z	https://www.politico.com/interactives/2024/potential-cabinets/trump-second-term-cabinet/
Don compares jailed Capitol rioters to Japanese internment during WWII...	ap news		Former President Donald Trump said that rioters who stormed the U.S. Capitol on Jan. 6, 2021 are being treated like Japanese Americans who were incarcerated on U.S. soil during World War II.	2024-10-18T20:00:03Z	https://apnews.com/article/jan-6-trump-japanese-capitol-riot-85573774c03b46f36aadd35d5f0b77ca
US judge tosses Illinois’ ban on semiautomatic weapons, governor pledges swift appeal	John O’Connor and Corey Williams | Associated Press	A federal judge has overturned Illinois’ ban on semiautomatic weapons, leaning on recent U.S. Supreme Court rulings that strictly interpret the Second Amendment right to keep and bear firearms. U.S.	SPRINGFIELD, Ill. (AP) A federal judge on Friday overturned Illinois ban on semiautomatic weapons, leaning on recent U.S. Supreme Court rulings that strictly interpret the Second Amendment right to k… [+1955 chars]	2024-11-09T04:00:00Z	https://apnews.com/article/illinois-semiautomatic-weapons-ban-tossed-appeal-b115223e9e49d36c16ac5a1206892919
Donald Trump's transition starts now. Here's how it will work	By WILL WEISSERT Associated Press	Donald Trump has a 75-day transition period to build out his team before Inauguration Day on Jan. 20. Here's what to expect.	WASHINGTON Donald Trump 's impending return to the White House means he'll want to stand up an entirely new administration from the one that served under President Joe Biden. His team is also pledgin… [+12237 chars]	2024-11-07T13:30:00Z	https://apnews.com/article/presidential-transition-how-it-works-trump-biden-f9a5f4367fbc9a6a208f47ff3e25538d
President-elect Trump names Susie Wiles as chief of staff	By ZEKE MILLER, MICHELLE L. PRICE and JILL COLVIN Associated Press	President-elect Donald Trump has named Susie Wiles, the manager of his victorious campaign, as his White House chief of staff.	"WASHINGTON President-elect Donald Trump has named Susie Wiles, the manager of his victorious campaign, as his White House chief of staff.
Wiles is widely credited within and outside Trumps inner cir… [+1543 chars]"	2024-11-07T23:00:00Z	https://apnews.com/article/trump-susie-wiles-transition-white-house-f917aa91b030d836b3bac01659b6fab4
Justice Department brings criminal charges in thwarted Iranian plot to kill Trump	ERIC TUCKER and LARRY NEUMEISTER Associated Press	A criminal complaint alleges that an official in Iran’s paramilitary Revolutionary Guard instructed a contact to put together a plan to surveil and ultimately kill President-elect Donald Trump.	"WASHINGTON The Justice Department unsealed criminal charges Friday in a thwarted Iranian plot to kill President-elect Donald Trump before this week's presidential election.
A criminal complaint file… [+1362 chars]"	2024-11-08T17:15:00Z	https://apnews.com/article/iran-fbi-justice-department-iran-83cff84a7d65901a058ad6f41a564bdb
Trump asks Rep. Mike Waltz, China hawk, to be his national security adviser	LISA MASCARO and LOLITA C. BALDOR Associated Press	President-elect Donald Trump has asked U.S. Rep. Michael Waltz, a retired Army National Guard officer, to be his national security adviser, a person familiar with the matter says.	WASHINGTON President-elect Donald Trump has asked U.S. Rep. Michael Waltz, a retired Army National Guard officer and war veteran, to be his national security adviser, a person familiar with the matte… [+9877 chars]	2024-11-12T03:15:00Z	https://apnews.com/article/trump-national-security-adviser-mike-wlatz-0c81d044c9ffe18dfd745202e8351b9c
Harris and Trump make a furious final push before Election Day	By JILL COLVIN, DARLENE SUPERVILLE and BILL BARROW - Associated Press	The presidential campaign comes down to a final sprint across a handful of states on the eve of Election Day. This year's race has careened through a felony trial, an incumbent president being pushed off the ticket and multiple assassination…	RALEIGH, N.C. A presidential campaign that has careened through a felony trial, an incumbent president being pushed off the ticket and multiple assassination attempts comes down to a final sprint acr… [+13440 chars]	2024-11-04T20:45:00Z	https://apnews.com/article/donald-trump-kamala-harris-2024-election-0429c35a84739bd90d9e5bb92fe803de
Intelligence officials say video falsely depicting voter fraud in Georgia linked to Russia	By ERIC TUCKER - Associated Press	"U.S. intelligence officials say a video that purports to show election fraud in Georgia by a man who claims to be from Haiti is fake and the work of “Russian influence actors."""	"WASHINGTON A video that purports to show election fraud in Georgia by a man who claims to be from Haiti is fake and the work of Russian influence actors, U.S. intelligence officials said Friday.
The… [+3246 chars]"	2024-11-01T18:15:00Z	https://apnews.com/article/fbi-russia-georgia-fraud-disinformation-eebea4ab200682ccd3e97fb9f164e6ca
Two closing arguments show the stark choice between Trump and Harris	By STEVE PEOPLES - AP National Political Writer	In the shadow of the White House, Kamala Harris is vowing to put country over party. Inside a New York City sports arena, Trump called his Democratic opponent “a train wreck who has destroyed everything in her path.” Trump's allies…	NEW YORK (AP) In the shadow of the White House, seven days before the final votes of the 2024 election are cast, Kamala Harris vowed to put country over party and warned that Donald Trump is obsessed… [+6817 chars]	2024-10-30T00:55:00Z	https://apnews.com/article/election-harris-trump-closing-arguments-070f6f5d72b4419a5d844e77177c2d42
Voting rights groups worry AI models are generating inaccurate and misleading responses in Spanish	By GISELA SALOMON and GARANCE BURKE - Associated Press	With just days before the presidential election, Latino voters are facing a barrage of targeted ads in Spanish and a new source of political messaging in the artificial intelligence age: chatbots generating unfounded claims in Spanish about voting rights. AI…	"By GISELA SALOMON and GARANCE BURKE - Associated Press
SAN FRANCISCO (AP) With just days before the presidential election, Latino voters are facing a barrage of targeted ads in Spanish and a new sou… [+5506 chars]"	2024-10-31T16:03:09Z	https://apnews.com/article/ai-chatbots-chatgpt-falsehoods-spanish-latino-voters-d4ffabdc006a7c70eece3e28efa3de90
OVER 10 MILLION HAVE ALREADY VOTED!	NBC News	"OVER 10 MILLION HAVE ALREADY VOTED!

 
 
 
 (Main headline, 1st story, link)

 

 

 
 Related stories:MAGA CLAIMS DOMINION FLIPPING"	Early voting has begun in states across the country where voters are able to cast their ballots either in person or via mail. Some states provide details about the early votes that are cast, includin… [+403 chars]	2024-10-19T03:52:37Z	https://www.nbcnews.com/politics/2024-elections/early-vote
Stacey Williams goes public with her allegations against Donald Trump	Sarah Fitzpatrick	Thirty-one years after Stacey Williams says she was groped by Donald Trump while Jeffrey Epstein watched, the 56-year-old writer, consultant and former Sports Illustrated swimsuit model went public this week with her allegation.	Thirty-one years after Stacey Williams says she was groped by Donald Trump while Jeffrey Epstein watched, the 56-year-old writer, consultant and former Sports Illustrated swimsuit model went public t… [+8861 chars]	2024-10-25T02:42:53Z	https://www.nbcnews.com/news/stacey-williams-goes-public-allegations-donald-trump-rcna177172
Trump Media shares halted repeatedly as DJT whipsaws in volatile trading	Kevin Breuninger, CNBC	Trading of Trump Media shares was halted for volatility multiple times Tuesday morning as the company majority owned by Donald Trump ricocheted in early trading.	"Trading of Trump Media shares was halted for volatility multiple times Tuesday morning as the company majority owned by Donald Trump ricocheted in early trading.
The company, which trades as DJT on … [+2585 chars]"	2024-10-29T16:55:14Z	https://www.nbcnews.com/business/markets/trump-media-shares-halted-repeatedly-djt-whipsaws-volatile-trading-rcna177836
What Trump's return to the White House could mean for the economy and taxes	Shannon Pettypiece	Voter frustration with their economic lives was central in propelling Donald Trump to a second term.	Voter frustration with their economic lives was central in propelling Donald Trump to a second term. Now, it will be up to Trump to try to change that trajectory and deliver on his sweeping promises … [+10164 chars]	2024-11-06T15:31:27Z	https://www.nbcnews.com/politics/2024-election/trumps-return-white-house-mean-economy-taxes-rcna177690
Trump's potential Supreme Court impact and racist text messages about picking cotton: Morning Rundown	Elizabeth Robinson	Republicans are looking ahead at the possibility of Donald Trump appointing more Supreme Court justices.	Republicans are looking ahead at the possibility of Donald Trump appointing more Supreme Court justices. Three people were charged in connection with the death of Liam Payne. And dozens of Black peop… [+7634 chars]	2024-11-08T12:16:16Z	https://www.nbcnews.com/news/trumps-supreme-court-impact-texts-picking-cotton-morning-rundown-rcna179266
Trump and allies spread false noncitizen voting claims and World Series preview: Morning Rundown	Elizabeth Robinson	Donald Trump and his allies are spreading a new “big lie” ahead of Election Day.	Donald Trump and his allies are spreading a new big lie ahead of Election Day. A World Series matchup for the ages is set to begin. And a new report warns that online gambling poses a public health t… [+10476 chars]	2024-10-25T11:06:04Z	https://www.nbcnews.com/news/trump-noncitizen-voting-world-series-dogers-yankees-monring-rundown-rcna177220
Trump rally overshadowed by comedian's racist remarks and Quarter Pounder is back: Morning Rundown	Elizabeth Both	Donald Trump headlines a rally in Madison Square Garden after racist and crude remarks from his allies.	Donald Trump headlines a rally in Madison Square Garden after racist and crude remarks from his allies. Quarter Pounders are back on the menu at McDonald's after tests show patties were not the sourc… [+7709 chars]	2024-10-28T11:08:44Z	https://www.nbcnews.com/news/vitriol-takes-trumps-rally-mcdonalds-quarter-pounder-morning-rundown-rcna177544
Trump’s legal team tried to keep Stormy Daniels quiet ahead of 2024 election, MSNBC reports	Megan Lebowitz	Former President Donald Trump this summer offered a financial incentive to adult film star Stormy Daniels if she agreed to keep quiet about Trump ahead of this November’s election, MSNBC’s Rachel Maddow reported on Wednesday.	Former President Donald Trump this summer offered a financial incentive to adult film star Stormy Daniels if she agreed to keep quiet about Trump including about the relationship that became the cent… [+2690 chars]	2024-10-17T08:56:17Z	https://www.nbcnews.com/politics/2024-election/trumps-legal-team-tried-keep-stormy-daniels-quiet-ahead-2024-election-rcna175828
Evangelical leaders celebrate Trump’s victory as a prophecy fulfilled	Mike Hixenbaugh and Stephanie Perry, NBC News Exit Poll Desk	Some evangelical Christians see Donald Trump’s presidential win as ordained by God, offering “a divine mandate” in his second term.	After having repeatedly depicted the presidential election as a spiritual clash between good and evil, leading figures in the movement to remake America as an explicitly Christian nation celebrated P… [+6563 chars]	2024-11-07T00:32:00Z	https://www.nbcnews.com/politics/2024-election/trump-wins-election-evangelical-christians-celebrate-rcna178946
Trump accuses Britain's ruling Labour Party of election interference	Alexander Smith and Jean-Nicholas Fievet	Former President Donald Trump accused Keir Starmer's British Labour Party of illegally assisting Vice President Kamala Harris ahead of the election Nov. 5.	LONDON Evoking the Battle of Yorktown and misspelling the word Britain, former President Donald Trump issued a remarkable legal complaint against the United Kingdoms ruling Labour Party late Tuesday,… [+4956 chars]	2024-10-23T12:09:29Z	https://www.nbcnews.com/news/world/trump-accuses-uk-labour-party-starmer-election-interference-harris-rcna176734
Will fluoride go away when Trump takes office?	Erika Edwards	Fluoride could be removed from public water systems under the influence of one of President-elect Donald Trump’s advisers, Robert F. Kennedy Jr.	Fluoride long heralded as one of the greatest public health achievements of the 20th century could be removed from public water systems under the influence of one of President-elect Donald Trumps adv… [+4649 chars]	2024-11-07T23:18:40Z	https://www.nbcnews.com/health/health-news/will-fluoride-go-away-trump-takes-office-rcna179002
'SNL' was always with Trump, its cast members insist	Dennis Romero	“Saturday Night Live” borrowed a page from some contemporary politicians by going from being critics of Donald Trump’s to being some of his most ardent supporters.	"Saturday Night Live borrowed a page from some contemporary politicians by going from being critics of Donald Trumps to being some of his most ardent supporters. 
After witnessing Trump's Nov. 5 win … [+3983 chars]"	2024-11-10T06:18:11Z	https://www.nbcnews.com/pop-culture/tv/snl-was-always-trump-cast-members-insist-rcna179481
Trump continues false claims about FEMA response in North Carolina	NBC News	Latest news and live updates on the 2024 campaign as Donald Trump heads to North Carolina and Kamala Harris visits Pennsylvania, Wisconsin and Michigan.	"Sky Hugo, a transgender Arizonan, expressed frustration with the Republican Party and politics writ large over the money the Trump campaign is spending on attacks on transgender rights. 
They want t… [+1579 chars]"	2024-10-21T11:53:46Z	https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-election-live-updates-rcna176305
Trump and Harris hold dueling events in Texas	NBC News	The latest news and live updates on the 2024 election. Follow Donald Trump and Kamala Harris in Texas and Barack Obama and JD Vance in North Carolina.	"Former GOP Rep. Liz Cheney will campaign in Michigan on Monday with Rep. Elissa Slotkin, Democrats' Senate nominee in Michigan.
Cheney and Slotkin will be in Grand Rapids, once a conservative strong… [+1507 chars]"	2024-10-25T11:22:04Z	https://www.nbcnews.com/politics/2024-election/live-blog/harris-trump-election-live-updates-rcna176309
Trump threatens to drown out his closing message in the final days of the election	Matt Dixon	Kamala Harris' final events have been far more disciplined, while Donald Trump's have often been eclipsed by his off-the-cuff comments and his allies' crude remarks.	"Are you better off now than you were four years ago?
That has been the question posed by Donald Trump to begin each of his campaign rallies over the past week. 
Pieced together, those more than a h… [+9007 chars]"	2024-10-29T19:26:31Z	https://www.nbcnews.com/politics/2024-election/trump-threatens-drown-closing-message-final-days-election-rcna177135
Trump's win maintains his hold on the GOP. It also kicks off plans for a succession.	Matt Dixon	Donald Trump’s return to the presidency has done something no political opponent could: put an end date on his time atop the Republican Party.	"Donald Trumps return to the presidency has done something no political opponent could: put an end date on his time atop the Republican Party.
Well, sort of.
Trump single-handedly remade the Republi… [+7810 chars]"	2024-11-07T21:39:34Z	https://www.nbcnews.com/politics/donald-trump/trumps-win-maintains-hold-gop-also-kicks-plans-succession-rcna179045
Trump to appear on Joe Rogan's podcast in latest outreach to young male voters	Jake Traylor and Garrett Haake	Former President Donald Trump will sit with Joe Rogan for a taping of his podcast in Austin, Texas, on Friday, according to two sources familiar with the planning.	"Former President Donald Trump will sit with Joe Rogan for a taping of his podcast in Austin, Texas, on Friday, according to two sources familiar with the planning.
Trump will visit Texas the same da… [+499 chars]"	2024-10-22T18:06:36Z	https://www.nbcnews.com/politics/2024-election/trump-appear-joe-rogans-podcast-latest-outreach-young-male-voters-rcna176622
Who does China’s president want to win the U.S. election?	Jennifer Jett and Janis Mackey Frayer and Peter Guo and Katherine Koretski and Sarah Dean and Peter Nicholas	As Donald Trump and Vice President Kamala Harris face off in the presidential election, China’s President Xi Jinping has not expressed a preference for either.	"U.S.-China ties will still be challenged during a Harris presidency but could be more stable than during the Trump and Biden years, Wu said.
Harris has never been to China but she has made multiple … [+3494 chars]"	2024-10-22T09:04:34Z	https://www.nbcnews.com/news/world/china-us-election-trump-harris-xi-jinping-rcna173770
Harris will ask voters to 'turn the page' on Trump era at the site of his Jan. 6 speech	Sahil Kapur	Kamala Harris will hold a rally Tuesday near the White House — the site where Donald Trump spoke on Jan. 6, 2021.	WASHINGTON Kamala Harris will hold a rally Tuesday near the White House at the site where Donald Trump addressed a crowd he encouraged to march to the Capitol on Jan. 6, 2021, shortly before it was v… [+3870 chars]	2024-10-29T09:00:00Z	https://www.nbcnews.com/politics/2024-election/harris-will-ask-voters-turn-page-trump-era-site-jan-6-speech-rcna177669
Vance, in Joe Rogan interview, predicts Trump will win 'the normal gay guy vote'	Henry J. Gomez and Alec Hernández	"In an interview with popular podcaster Joe Rogan, Sen. JD Vance suggested he and Donald Trump can win the ""normal gay guy vote."""	In an interview with popular podcaster Joe Rogan, Republican vice presidential nominee JD Vance suggested that he and Donald Trump can win the normal gay guy vote and that families with transgender c… [+6359 chars]	2024-10-31T20:45:16Z	https://www.nbcnews.com/politics/2024-election/vance-joe-rogan-interview-trump-normal-gay-guy-vote-rcna178135
Elon Musk's influence over Trump is being closely watched by Beijing	Janis Mackey Frayer and Jennifer Jett and Dawn Liu and Lexi Tian and Peter Guo	Tech billionaire Elon Musk’s influence over former President Donald Trump could be good news for China, where he has extensive business interests.	SHANGHAI If Donald Trump is elected Tuesday, the former president has said he may be advised by tech billionaire Elon Musk, who has campaigned for him vigorously in recent weeks and donated more than… [+10911 chars]	2024-11-04T16:42:11Z	https://www.nbcnews.com/news/world/musks-influence-trump-closely-watched-beijing-rcna177753
Trump calls judge overseeing his Jan. 6 case 'the most evil person'	Ryan J. Reilly and Kevin Breuninger, CNBC and Daniel Barnes	"Donald Trump called Judge Tanya Chutkan, who is overseeing the Jan. 6-related case against him, ""evil"" despite threats against her from his supporters."	"WASHINGTON Republican Presidential candidate Donald Trump on Friday called the judge overseeing the Jan. 6-related federal criminal case against him ""the most evil person,"" despite threats U.S. Distr… [+4665 chars]"	2024-10-18T18:32:39Z	https://www.nbcnews.com/politics/justice-department/trump-calls-judge-overseeing-jan-6-case-evil-person-rcna176112
McConnell privately called Trump a 'despicable human' and unfit for office, new book says	Frank Thorp V and Scott Wong and Jesse Rodriguez	"Senate Minority Leader Mitch McConnell has endorsed Donald Trump for president this year, but privately called him ""stupid"" and unfit for office."	The GOP leader also said the American people showed good judgment in firing Trump in 2020, given his erratic behavior making false claims of election fraud and delaying the Covid package.I think Im p… [+2763 chars]	2024-10-17T18:59:10Z	https://www.nbcnews.com/politics/congress/mcconnell-privately-called-trump-despicable-human-unfit-office-new-boo-rcna175960
Harvey Weinstein diagnosed with cancer and LeBron could make NBA history with son Bronny: Morning Rundown	Elizabeth Robinson	LeBron James, Bronny James, Los Angeles Lakers, Kamala Harris, Donald Trump, Elon Musk lottery, Harvey Weinstein, Robert Roberson testimony, The Vessel New York City, Central Park Five	Why relations between the U.S. and China will be rocky regardless of whether Harris or Trump wins the presidency. Harvey Weinstein is undergoing treatment for cancer. And LeBron James and his son Bro… [+8338 chars]	2024-10-22T11:06:29Z	https://www.nbcnews.com/news/harvey-weinstein-cancer-lebron-bronny-james-morning-rundown-rcna176531
Battleground state election lawsuits and IRS raises income tax brackets: Morning Rundown	Elizabeth Robinson	Kamala Harris interview, Donald Trump, John Kelly, JD Vance, IRS income tax brackets for 2025, bird flu cases in Washington, McDonald's quarter pounder, Liam Payne, Maya Henry	Dozens of election lawsuits have been filed in critical battleground states. Four new cases of bird flu in humans have been announced in Washington state. And fans criticize the backlash directed at … [+7951 chars]	2024-10-23T11:10:13Z	https://www.nbcnews.com/news/election-lawsuits-irs-income-tax-brackets-morning-rundown-rcna176728
What the Justice Department could look like under a Kamala Harris presidency	Ryan J. Reilly and Monica Alba and Yamiche Alcindor	Kamala Harris’s team is quietly considering potential nominees for attorney general to lead the Justice Department if she beats Donald Trump in the 2024 election.	WASHINGTON Kamala Harriss team is quietly considering potential nominees for attorney general, looking at who could serve as Americas top federal law enforcement official if she defeats Donald Trump,… [+7216 chars]	2024-10-24T20:39:49Z	https://www.nbcnews.com/politics/2024-election/justice-department-attorney-general-nominee-kamala-harris-president-rcna176171
Speaker Mike Johnson criticizes Obamacare and promises 'massive reform' if Trump wins	Sahil Kapur	House Speaker Mike Johnson said there will be “massive” changes to health care and Obamacare if Donald Trump and Republicans win the election.	WASHINGTON  House Speaker Mike Johnson took a dig at Obamacare during an event in Pennsylvania on Monday, telling a crowd there will be massive health care changes in America if Donald Trump wins the… [+3881 chars]	2024-10-29T20:06:06Z	https://www.nbcnews.com/politics/congress/speaker-johnson-criticizes-obamacare-promises-massive-reform-trump-win-rcna177853
What we've learned from the consistent poll numbers shaping the 2024 election	Mark Murray	The polls can't tell us who will win. But they do tell some clear stories about the forces shaping the election and propelling Donald Trump and Kamala Harris.	"Lets get one thing straight: The polls cant tell us who is going to win the presidential election. Or which party will control Congress. Or who will win a particular state.
The race is that close an… [+5410 chars]"	2024-11-04T10:00:00Z	https://www.nbcnews.com/politics/2024-election/polls-election-race-trump-harris-2024-president-rcna175524
Harris and Trump's closing arguments and ancient Mayan city discovered: Morning Rundown	Elizabeth Robinson	Kamala Harris, Donald Trump, Joe Biden, floating garbage, Tony Hinchcliffe, health insurance, North Korea, Russia-Ukraine War, World Series Game 4, Teri Garr, Jeopardy	Kamala Harris and Donald Trump offer sharply different closing arguments. High childbirth costs leave insured middle-class families with crippling debt. And an ancient Mayan city is discovered beneat… [+8765 chars]	2024-10-30T11:06:36Z	https://www.nbcnews.com/news/harris-speech-ellipse-ancient-mayan-city-morning-rundown-rcna177973
Justice Dept. to focus on 'most egregious' Jan. 6 cases until Trump is inaugurated	Ryan J. Reilly	The Justice Department plans to focus on Jan. 6 felony arrests before President-elect Donald Trump is back in the White House.	"WASHINGTON The Justice Department plans to focus on arresting the ""most egregious"" Jan. 6 rioters particularly those who committed felony assaults on law enforcement officers but have not yet been ar… [+6673 chars]"	2024-11-09T11:00:00Z	https://www.nbcnews.com/politics/2024-election/jan-6-cases-what-happens-focus-felony-rioters-trump-election-rcna175386
Breaking down the the yawning gender gap dividing Gen Z: From the Politics Desk	The Politics Desk	The gender gap defining the presidential race between Kamala Harris and Donald Trump extends to Gen Z voters, a new poll shows.	Welcome to the online version of From the Politics Desk, an evening newsletter that brings you the NBC News Politics teams latest reporting and analysis from the campaign trail, the White House and C… [+6987 chars]	2024-10-24T21:44:33Z	https://www.nbcnews.com/politics/breaking-down-gender-gap-gen-z-politics-desk-rcna177155
